
TEAM,LEAGUE,"W
Wins
Credited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.",L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
"1
Atlanta Braves",NL,89,73,3.49,162,162,2,17,40,62,1443.1,1277,607,559,150,68,449,1553,1.20,.236
"2
Seattle Mariners",AL,85,77,3.49,162,162,1,15,34,56,1433.0,1174,607,556,183,52,369,1416,1.08,.220
"3
Cleveland Guardians",AL,92,69,3.61,161,161,0,12,53,69,1428.0,1224,621,572,179,60,492,1410,1.20,.230
"4
Detroit Tigers",AL,86,76,3.61,162,162,1,10,45,71,1447.0,1265,642,581,159,57,416,1354,1.16,.233
"5
Milwaukee Brewers",NL,93,69,3.65,162,162,0,14,53,72,1446.0,1289,641,586,196,64,494,1373,1.23,.237
"6
Houston Astros",AL,88,73,3.74,161,161,2,11,43,69,1432.0,1238,649,595,183,61,544,1479,1.24,.231
"7
New York Yankees",AL,94,68,3.74,162,162,0,14,45,66,1452.2,1272,668,604,181,88,533,1457,1.24,.233
"8
Kansas City Royals",AL,86,76,3.76,162,162,2,11,41,64,1428.0,1303,644,596,146,70,472,1339,1.24,.241
"9
Tampa Bay Rays",AL,80,82,3.77,162,162,0,12,51,73,1440.2,1286,663,604,196,65,445,1406,1.20,.236
"10
Chicago Cubs",NL,83,79,3.78,162,162,1,11,38,64,1432.1,1302,669,602,181,48,485,1348,1.25,.239
"11
Philadelphia Phillies",NL,95,67,3.85,162,162,5,14,37,56,1442.2,1339,671,617,181,60,444,1433,1.24,.243
"12
San Diego Padres",NL,93,69,3.86,162,162,1,16,44,67,1439.1,1296,669,617,169,67,462,1453,1.22,.238
"13
Los Angeles Dodgers",NL,98,64,3.90,162,162,1,13,50,79,1445.2,1273,686,626,198,55,501,1390,1.23,.235
"14
Baltimore Orioles",AL,91,71,3.94,162,162,0,9,46,67,1442.0,1303,699,632,175,53,481,1380,1.24,.238
"15
New York Mets",NL,89,73,3.96,162,162,1,9,39,64,1442.1,1232,697,634,165,94,586,1455,1.26,.230
"16
St. Louis Cardinals",NL,83,79,4.04,162,162,0,9,55,83,1444.0,1363,719,648,174,42,454,1308,1.26,.249
"17
Boston Red Sox",AL,81,81,4.04,162,162,1,13,40,71,1452.2,1363,747,652,189,76,461,1353,1.26,.246
"18
Cincinnati Reds",NL,77,85,4.09,162,162,1,8,36,51,1428.0,1302,694,649,196,93,487,1370,1.25,.239
"19
San Francisco Giants",NL,80,82,4.10,162,162,2,12,36,55,1433.2,1339,699,653,153,70,526,1436,1.30,.246
"20
Pittsburgh Pirates",NL,76,86,4.15,162,162,1,12,43,72,1438.2,1369,739,664,166,85,515,1356,1.31,.250
"21
Minnesota Twins",AL,82,80,4.26,162,162,1,8,43,62,1440.1,1333,735,682,190,69,433,1500,1.23,.242
"22
Toronto Blue Jays",AL,74,88,4.29,162,162,3,9,36,59,1427.1,1316,743,681,208,71,503,1314,1.27,.243
"23
Washington Nationals",NL,71,91,4.30,162,162,0,6,40,63,1434.0,1429,764,685,168,43,473,1314,1.33,.258
"24
Texas Rangers",AL,78,84,4.35,162,162,0,12,38,57,1427.2,1323,738,690,198,74,530,1371,1.30,.243
"25
Oakland Athletics",AL,69,93,4.37,162,162,1,12,35,57,1436.2,1385,764,698,169,92,530,1263,1.33,.253
"26
Los Angeles Angels",AL,63,99,4.56,162,162,0,7,35,53,1431.0,1328,797,725,202,81,601,1252,1.35,.246
"27
Arizona Diamondbacks",NL,89,73,4.62,162,162,0,10,38,64,1443.1,1468,788,741,181,54,481,1313,1.35,.262
"28
Chicago White Sox",AL,41,121,4.67,162,162,0,7,21,58,1420.0,1397,813,737,201,54,643,1366,1.44,.255
"29
Miami Marlins",NL,62,100,4.73,162,162,1,7,33,60,1437.1,1431,841,755,195,88,556,1317,1.38,.257
"30
Colorado Rockies",NL,61,101,5.47,162,162,0,1,37,65,1426.2,1604,929,867,221,66,563,1118,1.52,.285
